time,relative_time,step,negotiator,offer,responses,state,text,data,ConcederTBNegotiator@0,LinearTBNegotiator@1
0.0,0.0196078431372549,0,ConcederTBNegotiator@0,"(5, 8, 1, 'basic')",{},continuing,,,0.6262281100335912,0.28787052191307516
0.0,0.0196078431372549,0,LinearTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,0.9999999999999999
0.01217175,0.0392156862745098,1,ConcederTBNegotiator@0,"(4, 8, 3, 'standard')",{},continuing,,,0.5554395795676415,0.21349336242953265
0.01217175,0.0392156862745098,1,LinearTBNegotiator@1,"(9, 2, 9, 'basic')",{},continuing,,,0.04838709677419354,0.9803600654664483
0.0130365,0.058823529411764705,2,ConcederTBNegotiator@0,"(6, 8, 2, 'basic')",{},continuing,,,0.5079485401411181,0.34988179669030733
0.0130365,0.058823529411764705,2,LinearTBNegotiator@1,"(9, 3, 9, 'basic')",{},continuing,,,0.06842968850192394,0.9607201309328969
0.014005791,0.0784313725490196,3,ConcederTBNegotiator@0,"(2, 10, 4, 'basic')",{},continuing,,,0.4713261648745519,0.2131296599381706
0.014005791,0.0784313725490196,3,LinearTBNegotiator@1,"(9, 1, 8, 'basic')",{},continuing,,,0.006272401433691762,0.9319876341152936
0.014976791,0.09803921568627451,4,ConcederTBNegotiator@0,"(5, 7, 3, 'basic')",{},continuing,,,0.44110434239273444,0.33951627568648846
0.014976791,0.09803921568627451,4,LinearTBNegotiator@1,"(9, 2, 8, 'basic')",{},continuing,,,0.0546594982078853,0.912347699581742
0.015890375,0.11764705882352941,5,ConcederTBNegotiator@0,"(2, 10, 5, 'basic')",{},continuing,,,0.4148745519713261,0.2491362065830151
0.015890375,0.11764705882352941,5,LinearTBNegotiator@1,"(9, 1, 9, 'premium')",{},continuing,,,0.12903225806451613,0.8854337152209492
0.016819791,0.13725490196078433,6,ConcederTBNegotiator@0,"(0, 3, 7, 'standard')",{},continuing,,,0.3919063910108845,0.39898163302418627
0.016819791,0.13725490196078433,6,LinearTBNegotiator@1,"(9, 2, 9, 'premium')",{},continuing,,,0.17741935483870966,0.8657937806873975
0.017734208,0.1568627450980392,7,ConcederTBNegotiator@0,"(0, 1, 7, 'premium')",{},continuing,,,0.37186379928315405,0.38916166575741046
0.017734208,0.1568627450980392,7,LinearTBNegotiator@1,"(9, 3, 9, 'premium')",{},continuing,,,0.19746194656644006,0.8461538461538461
0.0186635,0.17647058823529413,8,ConcederTBNegotiator@0,"(0, 1, 8, 'premium')",{},continuing,,,0.3530465949820788,0.4491725768321513
0.0186635,0.17647058823529413,8,LinearTBNegotiator@1,"(9, 4, 9, 'premium')",{},continuing,,,0.21284116810817147,0.8265139116202945
0.019633041,0.19607843137254902,9,ConcederTBNegotiator@0,"(4, 8, 8, 'standard')",{},continuing,,,0.33590552938843,0.43353336970358247
0.019633041,0.19607843137254902,9,LinearTBNegotiator@1,"(9, 4, 8, 'standard')",{},continuing,,,0.17072647276766967,0.8076013820694672
0.02060275,0.21568627450980393,10,ConcederTBNegotiator@0,"(5, 3, 7, 'premium')",{},continuing,,,0.31932574584959417,0.4635388252409529
0.02060275,0.21568627450980393,10,LinearTBNegotiator@1,"(9, 5, 8, 'standard')",{},continuing,,,0.18369175627240142,0.7879614475359156
0.02159975,0.23529411764705882,11,ConcederTBNegotiator@0,"(4, 5, 8, 'standard')",{},continuing,,,0.3046594982078853,0.49245317330423716
0.02159975,0.23529411764705882,11,LinearTBNegotiator@1,"(8, 3, 9, 'premium')",{},continuing,,,0.22165549495353684,0.7688670667394072
0.022578333,0.2549019607843137,12,ConcederTBNegotiator@0,"(1, 5, 9, 'basic')",{},continuing,,,0.29032258064516125,0.557737770503728
0.022578333,0.2549019607843137,12,LinearTBNegotiator@1,"(8, 4, 9, 'premium')",{},continuing,,,0.23703471649526825,0.7492271322058556
0.023582916,0.27450980392156865,13,ConcederTBNegotiator@0,"(1, 4, 9, 'basic')",{},continuing,,,0.27735729714042956,0.5773777050372795
0.023582916,0.27450980392156865,13,LinearTBNegotiator@1,"(6, 1, 9, 'standard')",{},continuing,,,0.15322580645161288,0.7299509001636661
0.024606541,0.29411764705882354,14,ConcederTBNegotiator@0,"(4, 7, 7, 'basic')",{},continuing,,,0.264581044901695,0.458628841607565
0.024606541,0.29411764705882354,14,LinearTBNegotiator@1,"(8, 5, 8, 'standard')",{},continuing,,,0.2078853046594982,0.7106746681214766
0.025723166,0.3137254901960784,15,ConcederTBNegotiator@0,"(8, 8, 5, 'basic')",{},continuing,,,0.2525721960550967,0.5611929441716677
0.026757791,0.3333333333333333,16,LinearTBNegotiator@1,"(9, 1, 2, 'basic')",{'LinearTBNegotiator@1': <ResponseType.ACCEPT_OFFER: 0>},agreement,,,0.30734767025089604,0.6919439898163302
